timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
58294-03-23 00:00:00,76342.78,77127.62,76187.75,76994.78,1891.92924,1777435199999999,144873826.9627742,344243,1097.01508,84017620.3491224,0
58294-09-05 16:00:00,76994.77,77455.71,76880.0,77053.64,2974.5751,1777449599999999,229410251.9043896,348103,1648.32841,127113395.509397,0
58295-02-19 08:00:00,77053.65,77904.93,76972.32,77590.03,2697.20554,1777463999999999,208968866.540064,419003,1497.61734,116015938.1206403,0
58295-08-05 00:00:00,77590.04,77596.39,75705.32,75924.25,5263.52444,1777478399999999,404163485.0477835,884825,2610.9627,200338355.9975492,0
58296-01-18 16:00:00,75924.24,76274.8,74937.52,75563.86,3962.49362,1777492799999999,299373776.728234,690524,1991.14291,150507190.4509749,0
58296-07-03 08:00:00,75563.87,76088.9,75497.43,75780.0,1490.20228,1777507199999999,112945651.1622828,346192,834.95468,63287241.0910779,0
58296-12-17 00:00:00,75780.0,76473.26,75494.7,75928.1,1613.44526,1777521599999999,122633694.630049,502145,854.39444,64978024.9209667,0
58297-06-01 16:00:00,75928.09,76179.91,75323.65,76161.67,1807.58096,1777535999999999,136866891.6257408,413963,1041.36346,78851007.9440295,0
58297-11-15 08:00:00,76161.67,76339.38,75876.29,76059.43,1712.03014,1777550399999999,130255424.0546452,320857,975.08343,74190340.1330813,0
58298-05-01 00:00:00,76059.42,76669.14,76042.75,76473.6,3506.19966,1777564799999999,267759179.977798,757085,1852.18209,141455548.3643927,0
58298-10-14 16:00:00,76473.6,76514.8,76111.0,76412.8,930.96663,1777579199999999,71072093.0694469,357750,479.50596,36606043.3532928,0
58299-03-30 08:00:00,76412.8,76568.9,76206.02,76346.57,811.59342,1777593599999999,61997308.3314741,217680,382.66186,29230418.4860694,0
58299-09-13 00:00:00,76346.58,77453.74,76320.42,77131.08,2250.38749,1777607999999999,172960115.0427243,332552,1110.6227,85326588.3989144,0
58300-02-26 16:00:00,77131.08,77206.38,76653.6,77130.54,2352.39487,1777622399999999,181246373.4387758,283432,911.22072,70223069.8022935,0
58300-08-12 08:00:00,77130.54,77600.0,77048.0,77463.98,1968.27324,1777636799999999,152212519.583216,259648,1145.034,88540213.0655871,0
58301-01-26 00:00:00,77463.98,78914.12,77408.73,78445.89,6731.19551,1777651199999999,527305467.4664376,805606,3343.22274,261832804.12755647,0
58301-07-11 16:00:00,78445.88,78683.23,78131.02,78360.0,2194.42574,1777665599999999,172026718.1286092,435455,1105.07952,86624900.8758401,0
58301-12-25 08:00:00,78360.01,78422.81,77752.0,78231.13,1818.78817,1777679999999999,142086642.2598013,271765,707.80044,55302001.5381559,0
58302-06-10 00:00:00,78231.13,78514.82,78166.48,78400.0,1196.13639,1777694399999999,93718172.8523643,193990,583.82095,45741829.8112502,0
58302-11-23 16:00:00,78399.99,78448.99,78040.0,78220.0,1475.03871,1777708799999999,115371450.5095799,141494,722.07123,56485091.1397181,0
58303-05-09 08:00:00,78220.0,78394.0,78094.43,78143.08,868.1323,1777723199999999,67933926.4983365,100439,477.78644,37391028.6669278,0
58303-10-23 00:00:00,78143.09,78487.68,78108.41,78487.67,726.08154,1777737599999999,56872977.9844811,136958,488.16306,38235836.1410961,0
58304-04-06 16:00:00,78487.67,78596.61,78310.54,78486.0,708.03792,1777751999999999,55550536.2136347,142507,351.15911,27550837.3725829,0
58304-09-20 08:00:00,78486.23,79199.48,78418.32,78686.85,1177.44956,1777766399999999,92791325.3910133,220755,674.03879,53129868.5423909,0
58305-03-06 00:00:00,78686.84,78754.55,78108.75,78203.08,1047.76325,1777780799999999,82053926.0543718,208865,391.14324,30630793.9529337,0
58305-08-19 16:00:00,78203.07,78483.67,78084.08,78363.25,794.16967,1777795199999999,62159747.2621949,131027,408.7073,32007979.7546003,0
58306-02-02 08:00:00,78363.24,78849.22,78354.53,78656.01,948.77514,1777809599999999,74518710.796928,151044,645.13713,50669901.3382471,0
58306-07-19 00:00:00,78656.01,78878.77,78586.99,78668.36,1137.8563,1777823999999999,89575916.3536687,197990,447.34135,35221697.9459161,0
58307-01-01 16:00:00,78668.36,78853.32,78558.65,78760.32,916.2637,1777838399999999,72097288.5944381,168347,307.95585,24239754.3581834,0
58307-06-17 08:00:00,78760.32,79447.0,78484.42,78568.57,2580.96484,1777852799999999,203888741.3900271,495201,1264.62925,99913164.8194944,0
58307-12-01 00:00:00,78568.58,80458.0,78288.88,80316.31,5091.61332,1777867199999999,405849652.36137486,798129,2943.71892,234688623.7752998,0
58308-05-15 16:00:00,80316.3,80635.51,79500.0,79696.75,3632.41236,1777881599999999,290970799.4058189,446188,1632.40883,130809915.9715014,0
